id,user,uid,version,changeset,timestamp
5594322,ErichRitz,7531901,4,81740910,2020-03-03T18:38:43Z
5594392,TheDutchMan13,1330847,7,49090161,2017-05-30T03:06:52Z
5594407,Dr Kludge,292665,6,28900374,2015-02-17T04:32:56Z
5594408,TheDutchMan13,1330847,7,89938781,2020-08-26T00:14:44Z
5594409,TheDutchMan13,1330847,6,49090161,2017-05-30T03:06:52Z
5594410,TheDutchMan13,1330847,6,49090161,2017-05-30T03:06:52Z
5594411,TheDutchMan13,1330847,6,49090161,2017-05-30T03:06:53Z
5594412,TheDutchMan13,1330847,4,49090161,2017-05-30T03:06:53Z
5594804,petrar_telenav,4940486,6,54975679,2017-12-28T07:45:47Z
5594926,TheDutchMan13,1330847,7,89143910,2020-08-09T05:15:26Z
5595080,Dr Kludge,292665,6,28900374,2015-02-17T04:31:16Z
5595262,TheDutchMan13,1330847,6,49094523,2017-05-30T07:15:04Z
5595370,TheDutchMan13,1330847,5,49090161,2017-05-30T03:06:53Z
5595371,TheDutchMan13,1330847,5,49090161,2017-05-30T03:06:53Z
5595372,TheDutchMan13,1330847,4,49090161,2017-05-30T03:06:54Z
5595377,TheDutchMan13,1330847,6,49090161,2017-05-30T03:06:54Z
5595378,TheDutchMan13,1330847,5,49090161,2017-05-30T03:06:54Z
5595552,TheDutchMan13,1330847,6,49092404,2017-05-30T05:40:30Z
5595581,TheDutchMan13,1330847,5,48807087,2017-05-19T01:00:18Z
5595590,TheDutchMan13,1330847,8,49092404,2017-05-30T05:40:32Z
5595615,Dr Kludge,292665,4,28900374,2015-02-17T04:27:55Z
5595644,rekulc1,10114014,4,81450547,2020-02-25T10:49:12Z
5595701,TheDutchMan13,1330847,5,49090161,2017-05-30T03:06:54Z
5595702,TheDutchMan13,1330847,4,48807087,2017-05-19T01:00:19Z
5595708,TheDutchMan13,1330847,8,69893594,2019-05-05T03:39:13Z
5595710,TheDutchMan13,1330847,5,69893594,2019-05-05T03:39:14Z
5595712,TheDutchMan13,1330847,6,49090161,2017-05-30T03:06:54Z
5595715,TheDutchMan13,1330847,5,49092404,2017-05-30T05:40:34Z
5595718,TheDutchMan13,1330847,4,49092404,2017-05-30T05:40:35Z
5595719,TheDutchMan13,1330847,7,49092404,2017-05-30T05:40:35Z
5595725,TheDutchMan13,1330847,5,49090161,2017-05-30T03:06:54Z
5595781,TheDutchMan13,1330847,13,89890510,2020-08-25T05:33:07Z
5596066,TheDutchMan13,1330847,7,49090161,2017-05-30T03:06:54Z
5596108,Dr Kludge,292665,5,28900374,2015-02-17T04:33:10Z
5596109,TheDutchMan13,1330847,7,49090161,2017-05-30T03:06:54Z
5596243,troyras673,5661173,8,54945661,2017-12-27T04:12:14Z
5596247,TheDutchMan13,1330847,6,49091589,2017-05-30T04:53:56Z
5596249,Dr Kludge,292665,3,28900374,2015-02-17T04:33:43Z
5596339,TheDutchMan13,1330847,5,49090161,2017-05-30T03:06:55Z
5596463,TheDutchMan13,1330847,6,89938781,2020-08-26T00:14:44Z
5596467,TheDutchMan13,1330847,6,49090161,2017-05-30T03:06:55Z
5596468,TheDutchMan13,1330847,6,49090161,2017-05-30T03:06:55Z
5596471,TheDutchMan13,1330847,5,49090161,2017-05-30T03:06:55Z
5596473,TheDutchMan13,1330847,6,49090161,2017-05-30T03:06:55Z
5596475,TheDutchMan13,1330847,5,48807087,2017-05-19T01:00:20Z
5596538,AJ Riley,157922,2,12704554,2012-08-12T17:42:15Z
5596560,TheDutchMan13,1330847,14,65225983,2018-12-06T05:05:43Z
5596592,Dr Kludge,292665,4,28900374,2015-02-17T04:28:00Z
5596602,TheDutchMan13,1330847,4,49090161,2017-05-30T03:06:56Z
5596797,TheDutchMan13,1330847,4,49090161,2017-05-30T03:06:56Z
5596813,AJ Riley,157922,5,12748885,2012-08-16T10:32:14Z
5596866,TheDutchMan13,1330847,6,49092404,2017-05-30T05:40:43Z
5596867,TheDutchMan13,1330847,5,49090161,2017-05-30T03:06:56Z
5596869,TheDutchMan13,1330847,5,49090161,2017-05-30T03:06:56Z
5596870,TheDutchMan13,1330847,6,49090161,2017-05-30T03:06:56Z
5596877,TheDutchMan13,1330847,6,49090161,2017-05-30T03:06:56Z
5596878,Dr Kludge,292665,7,72687022,2019-07-26T13:15:23Z
5596889,pbudhara,10327364,6,89690205,2020-08-20T11:55:54Z
5597015,AJ Riley,157922,6,12748885,2012-08-16T10:32:17Z
5597087,rekulc1,10114014,4,81450547,2020-02-25T10:49:12Z
5597088,rekulc1,10114014,6,81450547,2020-02-25T10:49:12Z
5597093,rekulc1,10114014,8,81450547,2020-02-25T10:49:12Z
5597448,TheDutchMan13,1330847,4,49092404,2017-05-30T05:40:49Z
5597491,TheDutchMan13,1330847,5,49092404,2017-05-30T05:40:50Z
5597685,rekulc1,10114014,4,81450547,2020-02-25T10:49:12Z
5597743,TheDutchMan13,1330847,6,49090161,2017-05-30T03:06:57Z
5597744,TheDutchMan13,1330847,4,49090161,2017-05-30T03:06:57Z
5597746,TheDutchMan13,1330847,6,49090161,2017-05-30T03:06:57Z
5597752,Hoodzow,6445267,6,50923372,2017-08-07T17:21:04Z
5597757,Hoodzow,6445267,9,50920384,2017-08-07T15:02:56Z
5597862,Dr Kludge,292665,7,28900374,2015-02-17T04:31:09Z
5597951,sankethn,10457702,9,89830583,2020-08-24T04:46:06Z
5597952,TheDutchMan13,1330847,5,49090161,2017-05-30T03:06:57Z
5597962,TheDutchMan13,1330847,5,49090161,2017-05-30T03:06:58Z
5597972,Dr Kludge,292665,4,28900374,2015-02-17T04:27:51Z
5597975,Dr Kludge,292665,4,28900374,2015-02-17T04:27:51Z
5598054,TheDutchMan13,1330847,6,49090161,2017-05-30T03:06:58Z
5598057,TheDutchMan13,1330847,8,49092404,2017-05-30T05:40:53Z
5598134,TheDutchMan13,1330847,6,49091589,2017-05-30T04:54:14Z
5598135,Dr Kludge,292665,5,28900374,2015-02-17T04:33:34Z
5598136,TheDutchMan13,1330847,6,49091589,2017-05-30T04:54:14Z
5598137,TheDutchMan13,1330847,7,49091589,2017-05-30T04:54:14Z
5598139,TheDutchMan13,1330847,6,49091589,2017-05-30T04:54:14Z
5598222,TheDutchMan13,1330847,6,49090161,2017-05-30T03:06:58Z
5598226,inagans,10192109,8,79777962,2020-01-20T06:06:21Z
5598286,ErichRitz,7531901,6,81740910,2020-03-03T18:38:43Z
5598630,Dr Kludge,292665,4,28900374,2015-02-17T04:28:40Z
5598633,TheDutchMan13,1330847,7,49090161,2017-05-30T03:06:58Z
5598682,Dr Kludge,292665,4,28900374,2015-02-17T04:29:14Z
5598704,TheDutchMan13,1330847,7,89890510,2020-08-25T05:33:07Z
5598705,AJ Riley,157922,4,12704554,2012-08-12T17:42:50Z
5598720,TheDutchMan13,1330847,5,49090161,2017-05-30T03:06:58Z
5598724,TheDutchMan13,1330847,4,48807087,2017-05-19T01:00:23Z
5598727,TheDutchMan13,1330847,7,62000655,2018-08-26T07:51:09Z
5598728,TheDutchMan13,1330847,5,49090161,2017-05-30T03:06:59Z
5598733,TheDutchMan13,1330847,7,49090161,2017-05-30T03:06:59Z
5598739,TheDutchMan13,1330847,6,49092404,2017-05-30T05:41:02Z
5598740,petrar_telenav,4940486,6,54975679,2017-12-28T07:45:48Z
5598763,TheDutchMan13,1330847,4,49090161,2017-05-30T03:06:59Z
5598773,TheDutchMan13,1330847,6,49090161,2017-05-30T03:06:59Z
5598774,TheDutchMan13,1330847,5,49090161,2017-05-30T03:06:59Z
5598839,TheDutchMan13,1330847,4,49090161,2017-05-30T03:06:59Z
5598992,AJ Riley,157922,9,12572674,2012-08-01T10:54:11Z
5598993,AJ Riley,157922,3,12718488,2012-08-13T19:31:05Z
5599076,rathjoth,10219370,14,89275622,2020-08-12T03:19:01Z
5599080,TheDutchMan13,1330847,5,49090161,2017-05-30T03:07:00Z
5599088,TheDutchMan13,1330847,4,49090161,2017-05-30T03:07:00Z
5599118,Dr Kludge,292665,4,28900374,2015-02-17T04:34:36Z
5599127,TheDutchMan13,1330847,5,28202836,2015-01-17T08:25:25Z
5599145,AJ Riley,157922,4,12576189,2012-08-01T16:21:55Z
5599261,TheDutchMan13,1330847,7,49092404,2017-05-30T05:41:07Z
